+00029.326,+00024.170,+00027.285,+00028.306,+00022.975,+00023.700,+00034.818,+00023.969,+00077.618,+00105.178,+00075.819,+00076.490,+00078.383,+00076.222,+00071.000
+00023.175,+00028.828,+00023.242,+00037.421,+00023.417,+00030.331,+00026.518,+00022.906,+00079.956,+00080.493,+00072.692,+00102.070,+00075.377,+00072.974,+00076.787
+00024.102,+00032.507,+00038.012,+00023.994,+00002.162,+00012.501,+00001.007,+00000.564,+00068.516,+00078.814,+00067.790,+00073.537,+00004.968,+00019.549,+00019.213
+00121.082,+00092.832,+00095.397,+00141.598,+00135.368,+00087.314,+00107.212,+00127.231,+00146.426,+00133.537,+00151.300,+00131.241,+00145.902,+00150.575,+00148.494
+00090.610,+00088.247,+00094.276,+00088.301,+00105.394,+00086.676,+00123.266,+00085.736,+00141.876,+00116.567,+00150.818,+00147.958,+00145.246,+00149.287,+00147.408
+00087.033,+00137.317,+00096.862,+00122.641,+00085.382,+00086.026,+00125.850,+00120.090,+00141.824,+00148.523,+00152.739,+00150.497,+00150.859,+00151.168,+00151.839
+00089.804,+00087.132,+00092.382,+00098.182,+00133.994,+00090.260,+00084.379,+00085.507,+00143.149,+00149.902,+00150.895,+00150.681,+00142.383,+00155.460,+00149.714
+00145.972,+00088.501,+00142.333,+00091.200,+00090.381,+00129.335,+00085.803,+00090.529,+00142.094,+00146.444,+00146.887,+00146.122,+00145.357,+00149.049,+00150.203
+00087.188,+00088.141,+00131.702,+00092.505,+00141.571,+00086.785,+00084.543,+00169.703,+00151.120,+00145.467,+00147.347,+00148.260,+00140.916,+00153.765,+00150.153
+00087.456,+00088.544,+00086.838,+00092.774,+00094.640,+00086.825,+00098.467,+00086.570,+00143.127,+00144.537,+00145.866,+00147.437,+00144.134,+00150.538,+00150.901
+00086.872,+00092.498,+00085.717,+00090.336,+00084.388,+00096.982,+00119.459,+00085.999,+00145.681,+00146.594,+00146.218,+00146.232,+00144.634,+00147.051,+00147.735
+00086.714,+00087.197,+00086.163,+00090.944,+00085.022,+00086.956,+00086.110,+00088.648,+00100.588,+00145.666,+00142.659,+00143.263,+00143.048,+00147.156,+00148.284
+00093.450,+00116.491,+00091.396,+00090.308,+00088.885,+00086.133,+00084.092,+00089.140,+00141.180,+00144.859,+00146.645,+00144.242,+00142.214,+00151.546,+00150.955
+00107.636,+00086.597,+00085.550,+00086.799,+00085.899,+00086.772,+00086.383,+00089.685,+00148.047,+00147.791,+00147.765,+00147.241,+00142.596,+00146.664,+00146.825
+00087.435,+00090.522,+00085.877,+00097.127,+00084.938,+00113.344,+00084.038,+00109.867,+00079.999,+00148.655,+00149.729,+00145.594,+00143.124,+00147.285,+00147.339
+00086.492,+00087.714,+00085.781,+00090.695,+00085.834,+00087.513,+00086.573,+00099.945,+00141.064,+00149.333,+00153.253,+00151.293,+00145.897,+00151.401,+00149.092
